PID,MS_SubClass,Lot_Frontage_Squared,ms_zone_category
902102100,50,3600,4
902104060,50,3025,4
902106130,30,3136,4
902106140,30,3136,4
902110090,20,4761,4
902125080,50,3600,4
902125160,30,2209,4
902128170,30,3600,4
902206040,50,2500,4
902206130,45,2500,4
902206220,50,4761,4
902207130,30,4624,4
902207140,30,3600,4
902305110,70,3600,4
902327040,50,3600,4
902329030,70,2500,4
902401060,190,10000,4
902402010,20,8100,4
902402130,70,3600,4
902402250,190,3600,4
902403070,70,3600,4
903204040,50,2809,4
903225150,30,2500,4
903226160,50,2500,4
903227020,50,2500,4
903227150,50,2809,4
903228150,50,2500,4
903232190,50,2704,4
903233120,50,2704,4
903234050,30,2601,4
903425110,70,2500,4
903426180,50,3249,4
903426200,70,3600,4
903430080,70,2704,4
903450110,90,12100,4
903454060,190,4900,4
903476030,190,5776,4
904101110,20,10000,3
904300150,50,5184,3
904302260,190,3600,3
904350045,50,4225,3
905101100,50,2916,3
905101300,90,5184,3
905101310,90,5184,3
905102060,190,5625,3
905104210,20,4900,3
905105200,20,4225,3
905106140,60,6400,3
905106170,20,4225,3
905107250,60,7396,3
905109130,60,6400,3
905201030,30,8836,3
905202090,20,3600,3
905378040,50,15376,3
905426060,30,7225,3
905426200,20,4225,3
905451320,20,4624,3
905452110,50,2500,3
905452160,20,5625,3
905453040,20,6889,3
905453080,20,1936,3
905478190,20,3600,3
906201030,60,5929,3
906201120,20,6889,3
906204230,60,7569,3
906223090,60,6400,3
906225210,85,5329,3
906378100,20,4096,3
906380190,20,4096,3
906385010,20,8836,3
906385020,20,4096,3
906402200,60,8100,3
906425045,50,6724,3
906477110,80,6400,3
907125090,85,6724,3
907185060,60,4900,3
907200280,20,1444,3
907200340,20,5625,3
907203070,20,4624,3
907250030,20,6400,3
907262050,60,1936,3
907280040,60,5625,3
907290040,20,2304,3
907401090,20,2304,3
907410080,20,4900,3
907414030,20,4225,3
908102060,30,4489,3
908102110,20,4624,3
908102130,90,5625,3
908102170,20,3600,3
908102300,50,7921,3
908103350,80,4225,3
908152080,80,8836,3
908203100,20,4096,3
908208020,20,6400,4
908225320,50,2704,3
908226130,190,3600,3
908275300,20,4624,3
909100080,30,4489,3
909100110,70,4356,3
909101070,30,2025,3
909176140,50,2500,3
909250030,50,2601,3
909250060,50,2500,3
909281080,50,6084,3
909426080,90,6084,3
909427230,70,4356,3
909428280,20,10000,3
909452114,80,7225,3
909455030,120,1225,4
909455040,120,1225,4
909475140,20,10000,3
910202060,50,1600,4
910203250,30,3364,4
910205120,50,2500,4
911370510,120,1936,4
914467040,60,7225,3
914475090,80,5476,3
914476520,20,16641,3
916386010,20,7744,3
916386020,20,5329,3
916386060,60,5329,3
916386090,60,8464,3
916455170,60,6400,3
916475110,60,7225,3
921128020,20,7921,3
923201020,20,7225,3
923202105,20,8649,3
923204150,90,8836,3
923225390,120,961,4
923225440,160,1296,4
923226250,160,441,4
923226320,180,441,4
923228270,160,441,4
923228370,160,441,4
923230190,20,2500,3
923276030,20,5776,3
923276250,90,4900,3
923426070,60,3969,3
924100050,50,4624,3
924151040,20,5776,3
924152030,60,5476,3
526302110,20,5476,3
526351100,20,7225,3
526355080,80,5625,3
527105070,60,7744,3
527107130,80,3600,3
527108070,20,1764,3
527127100,120,784,3
527131030,120,1600,3
527132090,120,3721,3
527146010,120,3249,3
527161040,80,3249,3
527162110,60,5476,3
527162120,60,3600,3
527163040,60,3481,3
527164020,20,3364,3
527164090,60,4225,3
527180100,20,9801,3
527214050,20,3969,3
527254020,20,6400,3
527258020,20,15376,3
527276160,60,7225,3
527301320,60,8836,3
527302175,20,2304,3
527326040,20,7225,3
527353020,20,6400,3
527354200,20,6400,3
527355150,20,6400,3
527356040,20,6724,3
527359050,20,6400,3
527364030,60,4900,2
527365030,60,5625,2
527375180,20,6084,3
527375210,20,7225,3
527376100,20,6084,3
527401160,90,3600,3
527403040,20,3721,3
527405130,20,3600,3
527405160,20,3600,3
527405180,20,4900,3
527425060,20,4900,3
527425110,20,3600,3
527450280,160,441,4
527451110,160,576,4
527451320,160,441,4
527451540,160,441,4
527451640,160,441,4
527451650,160,441,4
527453050,160,576,3
527453060,160,576,3
527453140,120,576,3
527454050,160,576,3
527454130,160,576,3
527455050,160,576,3
527455060,160,576,3
527455080,160,576,3
527455090,120,576,3
527455240,20,4225,3
528102040,20,9216,3
528102140,60,12100,3
528104070,60,10816,3
528106020,20,11025,3
528106070,20,11664,3
528108010,20,12100,3
528108020,20,9604,3
528108040,60,9025,3
528108070,60,9216,3
528108130,20,9025,3
528108140,20,8836,3
528110010,60,9409,3
528110020,20,11025,3
528110090,60,11449,3
528112040,20,9025,3
528116010,20,16641,3
528118060,60,3481,3
528120020,20,7569,3
528120030,20,7569,3
528120160,20,5776,3
528120170,20,5929,3
528138010,20,10404,3
528142040,60,5476,3
528142090,20,11449,3
528142130,20,7225,3
528142150,20,8100,3
528144020,20,6241,3
528166060,20,10609,3
528166090,20,12100,3
528168030,60,9216,3
528172060,20,4900,3
528174050,120,2209,3
528174060,120,1156,3
528174070,120,1156,3
528175050,120,6400,3
528175060,120,1156,3
528176030,20,10000,3
528178010,20,13689,3
528180120,120,1936,3
528180130,120,2304,3
528186010,20,16641,3
528186180,120,2304,3
528188020,120,2304,3
528188060,160,1296,3
528218090,60,3969,3
528220040,60,3249,3
528221060,60,22201,3
528221070,60,14884,3
528228290,120,2809,3
528228295,120,2601,3
528228435,120,1849,3
528228450,120,1849,3
528228455,120,1849,3
528228460,120,1849,3
528235010,60,5041,3
528235200,80,3481,3
528240030,60,3844,3
528240150,60,3721,3
528253010,120,1156,3
528290030,80,3721,3
528290120,60,3600,3
528290180,60,1764,3
528290190,80,3844,3
528294050,80,4096,3
528315090,60,6724,3
528321010,60,30276,3
528327070,60,11236,3
528344100,60,9604,3
528354050,60,6241,3
528365070,60,8100,3
528385050,60,6241,3
528390100,60,2704,3
528427020,20,5476,3
528431020,20,7396,3
528431070,20,6084,3
528435030,20,6084,3
528435050,20,7225,3
528439060,20,5776,3
528441020,60,5625,3
528441090,20,7225,3
528456180,60,5184,2
528456220,60,5625,2
528456240,20,5625,2
528458020,20,8100,2
528458040,20,5184,2
528458060,20,5184,2
528458140,20,12544,2
528458160,20,7225,2
528458180,20,5625,2
528477050,60,7225,2
528477070,60,7056,2
528480040,60,7225,2
528480130,60,4225,2
528480170,20,4225,2
528482040,20,7225,2
528482130,60,5625,2
528488100,20,3844,2
528490040,20,4624,2
528490070,60,4225,2
531363010,20,6400,3
531363030,20,3969,3
531363050,20,3969,3
531369010,60,9216,3
531369020,20,5776,3
531371050,20,4489,3
531375040,20,3969,3
531375090,20,3969,3
531375130,20,3600,3
531376090,20,3721,3
531379050,60,1849,3
531382070,20,7744,3
531385020,20,4225,3
531450120,60,4900,3
531452010,160,5625,3
531452070,120,2500,3
531452260,60,4900,3
531475220,90,5625,3
532353020,20,3969,3
532353130,20,5041,3
532377130,20,6400,3
532378120,20,3600,3
532378180,20,4225,3
533206020,160,1024,2
533210010,160,1600,2
533210020,160,900,2
533213040,160,1156,2
533221040,160,1156,2
533223030,160,1225,2
533236050,160,576,2
533253070,120,3721,3
533254050,20,12100,3
533254110,80,6400,3
534125080,60,6084,3
534128190,60,6400,3
534129370,20,6400,3
534129380,20,5625,3
534152120,20,6400,3
534175080,20,6084,3
534177230,60,4900,3
534200030,20,3844,3
534202170,20,6400,3
534226120,20,4900,3
534250400,60,6400,3
534275060,20,3600,3
534275100,20,4225,3
534276040,20,4900,3
534278230,90,7225,3
534400050,20,10000,3
534400290,20,7225,3
534402060,20,13225,3
534426110,20,6400,3
534429150,80,7225,3
534431130,20,4624,3
534450150,30,2500,3
534475185,20,16384,3
534475250,20,8100,3
534476150,20,6400,3
534476320,20,6400,3
534477110,50,6400,3
534478230,20,6400,3
535101120,90,4225,3
535104120,20,8464,3
535125070,20,6400,3
535125090,60,7225,3
535126010,60,10000,3
535126100,20,14400,3
535151040,20,5329,3
535152230,20,4900,3
535154130,20,4356,3
535175030,20,6400,3
535175050,20,4356,3
535178040,20,4900,3
535178120,20,4900,3
535179160,20,6400,3
535300120,80,14400,3
535301170,20,5476,3
535302120,90,5776,3
535303110,20,2809,3
535303150,20,6241,3
535304100,20,4489,3
535325290,20,3600,3
535351050,20,5625,3
535352090,30,6400,3
535353040,20,3600,3
535353060,20,5625,3
535353140,190,11449,3
535353240,60,6084,3
535354070,20,3600,3
535354100,20,2500,3
535375010,20,2809,3
535375050,50,3600,3
535376060,60,3600,3
535377150,70,6400,3
535378020,30,2704,3
535378120,30,3600,3
535381040,50,3600,3
535382100,70,3600,3
535383060,30,8100,3
535383070,50,8100,3
535383110,30,3600,3
535383120,30,3600,3
535402010,90,6561,3
535402090,20,6889,3
535402270,20,5929,3
535402330,90,8281,3
535403190,20,3844,3
535403210,20,8100,3
535403280,20,4096,3
535426150,20,6400,3
535450070,40,3600,3
535450160,90,3600,3
535450200,50,3600,3
535451170,90,3600,3
535451250,50,3600,3
535452090,20,5041,3
535452100,20,4900,3
535452140,20,3600,3
535453100,80,6400,3
535453200,20,4900,3
535454100,50,3600,3
535454160,50,3600,3
535475010,60,5776,3
535476110,90,5625,3
535476240,20,6400,3
535477150,20,3600,3
902102080,50,3600,4
902103100,50,4624,4
902103120,90,3249,4
902103170,50,2704,4
902105050,50,8100,4
902105060,70,8100,4
902106010,70,3249,4
902106060,70,3600,4
902109130,190,3969,4
902109140,90,3600,4
902110080,60,3600,4
902134120,50,3136,4
902135020,20,3600,4
902201110,50,2500,4
902202150,190,2500,4
902204080,30,3844,4
902205010,30,2500,4
902205030,50,2500,4
902206260,30,2500,4
902207170,30,3600,4
902300090,190,1089,4
902301060,70,3600,4
902301080,50,2500,4
902325070,75,8100,4
902326030,70,4225,4
902327070,70,4900,4
902329080,70,3600,4
902330040,70,14641,4
902401130,70,2500,4
902402150,30,3600,4
902405100,50,9604,4
902405120,50,3600,4
902406070,70,3600,4
903200080,70,20736,3
903201080,50,3025,3
903202170,70,2500,3
903226130,50,2500,4
903226170,50,2500,4
903227070,50,2500,4
903227090,50,2500,4
903228070,50,3600,4
903228120,45,2500,4
903230100,30,3600,4
903231010,50,2601,4
903231030,50,2601,4
903231060,30,2601,4
903231130,30,2601,4
903232060,30,2601,4
903234220,50,2601,4
903236040,30,2500,4
903425245,70,3600,3
903427120,70,3249,4
903429080,70,2500,4
903429110,70,4624,4
903430060,75,8464,4
903430070,90,2500,4
903451090,70,3249,4
903458170,30,2704,4
903476090,190,1681,4
903481120,50,3600,4
903481130,85,7396,4
903484110,190,3600,4
904100190,20,2500,3
904301060,90,3600,3
904301070,90,3600,3
904351240,50,3600,3
905101260,80,4900,3
905101490,20,6400,3
905103040,60,4900,3
905103070,20,5625,3
905105190,20,4225,3
905108220,85,5476,3
905200260,80,7744,3
905200350,80,7744,3
905325020,20,4225,3
905450020,20,5329,3
905451300,20,4624,3
905451340,20,4624,3
905452040,60,2500,3
905452050,30,2500,3
905475160,20,3844,3
905476230,120,1764,3
905478030,50,3600,3
905480030,50,3600,3
905480210,70,3600,3
906201021,80,5476,3
906201050,80,4356,3
906201130,50,6241,3
906203120,20,8100,3
906223060,60,5625,3
906223080,60,7225,3
906223210,60,6400,3
906226060,70,14400,3
906226070,90,4096,3
906226080,90,4096,3
906226090,90,4096,3
906226100,90,4096,3
906226110,90,4096,3
906226120,90,4096,3
906226130,90,4096,3
906226140,90,4096,3
906340100,20,7056,3
906340110,20,6241,3
906340120,20,3721,3
906340130,20,4225,3
906378110,20,5041,3
906380050,60,4624,3
906380060,20,5929,3
906380100,20,14884,3
906380130,20,4624,3
906380210,20,4096,3
906380220,20,9025,3
906392070,20,4096,3
906392110,20,6084,3
906392130,60,6241,3
907126010,20,6724,3
907126050,20,4225,3
907130100,60,4225,3
907131090,60,1849,3
907131190,20,4225,3
907135040,20,12544,3
907135170,20,3600,3
907175100,60,6400,3
907180130,20,6084,3
907181100,20,4624,3
907185050,60,4900,3
907192030,60,4624,3
907192090,20,4489,3
907194010,60,6241,3
907194110,20,4489,3
907194160,20,4225,3
907196060,20,5625,3
907200230,20,3600,3
907201280,20,5776,3
907202050,20,3721,3
907227030,20,1296,3
907227080,20,3600,3
907227110,85,3600,3
907227290,85,4900,3
907250070,20,8100,3
907260030,60,4900,3
907275010,20,8100,3
907275090,20,5329,3
907280170,20,4900,3
907285050,60,4900,3
907290070,20,4900,3
907290090,20,5625,3
907410130,20,7225,3
907412020,60,4225,3
907414020,20,3969,3
907414080,60,4096,3
907420040,60,7225,3
908102050,20,4489,3
908102270,20,5625,3
908102290,20,4489,3
908128060,85,4096,3
908151050,60,5625,3
908152035,20,6400,3
908152100,80,5184,3
908154040,20,7396,3
908186080,180,1225,4
908201040,20,2500,3
908203090,20,4096,3
908225290,20,4900,3
908225370,50,2500,3
908229020,30,3136,3
908250030,20,5476,3
908275040,90,4225,3
908275110,20,4900,3
909101010,50,4489,3
909101100,50,2025,3
909101140,50,3600,3
909175080,30,3600,3
909178160,50,3600,3
909179020,75,10404,3
909250080,70,1849,3
909250220,50,4225,3
909251050,30,4096,3
909251170,50,2601,3
909252020,70,3600,3
909253010,50,3249,3
909253180,50,2704,3
909254010,70,2809,3
909257050,70,2809,3
909275080,50,3600,3
909276200,50,16900,3
909277090,20,6400,3
909277100,30,6400,3
909278020,50,2916,3
909282130,20,4900,3
909425060,70,5625,3
909425130,20,8100,3
909426090,50,6084,3
909427200,20,6400,3
909428240,20,10000,3
909451040,160,576,4
909451100,160,576,4
909451140,160,576,4
909451180,160,576,4
910202070,70,3481,4
910204050,70,2500,4
910205020,70,3600,4
911370500,120,1936,4
914465020,60,5625,3
914465040,50,2304,3
914465055,20,1849,3
914474070,60,5041,3
914475010,85,5625,3
914475030,85,5184,3
914476020,90,5625,3
914476430,20,6724,3
916176125,20,22500,3
916380070,20,7921,3
916382010,60,6889,3
916382100,20,12769,3
916382110,20,6241,3
916386140,20,5329,3
916403010,20,16900,3
916403250,80,15625,3
916460110,60,5625,3
916475040,20,7225,3
921128050,20,7225,3
923201100,20,5625,3
923202060,20,10000,3
923203110,120,1024,4
923225360,180,441,4
923225490,20,3844,3
923226270,180,441,4
923227080,20,6889,3
923228110,180,441,4
923228150,160,441,4
923228230,160,441,4
923230200,85,2500,3
923252075,80,3844,3
923276260,85,4900,3
923400025,50,7225,3
923400110,60,3844,3
924100060,60,4900,3
526351030,20,7569,3
526354070,60,7225,3
527105050,60,5184,3
527106050,60,4225,3
527106140,60,3481,3
527106150,60,3481,3
527107090,20,2809,3
527107210,60,3249,3
527127140,120,1681,3
527131110,120,2025,3
527140090,120,1681,3
527145090,120,1521,3
527161010,60,10000,3
527162180,60,5329,3
527183030,120,1600,3
527183060,120,4225,3
527208010,60,10201,3
527212050,60,5929,3
527214030,20,2809,3
527252080,120,3600,3
527301170,60,2116,3
527301245,20,3969,3
527302050,20,6084,3
527302185,20,3136,3
527302210,20,7225,3
527325240,20,8100,3
527354160,60,6400,3
527357110,60,5625,3
527358120,20,10816,3
527359030,20,6400,3
527359070,60,6400,3
527378020,20,6400,3
527401130,90,3600,3
527402060,20,4225,3
527402130,20,4624,3
527403360,20,3969,3
527450110,160,441,4
527450250,160,441,4
527450520,160,441,4
527451060,160,441,4
527451290,160,441,4
527451400,160,441,4
527451550,160,441,4
527452150,120,2809,3
527453160,160,576,3
527454120,120,576,3
528102030,20,9216,3
528102110,60,9216,3
528104050,20,12996,3
528104080,60,4489,3
528108150,20,9604,3
528110080,20,11449,3
528110110,20,11025,3
528114040,20,10816,3
528118030,60,11664,3
528118090,60,9216,3
528120130,60,10404,3
528142020,60,5476,3
528142140,60,7225,3
528164060,20,11236,3
528166120,60,12100,3
528170070,60,7225,3
528172080,20,8464,3
528178070,60,16900,3
528178090,60,12544,3
528180110,120,3364,3
528180140,120,4225,3
528181010,120,18225,3
528186030,120,3844,3
528186080,120,3969,3
528186130,120,7921,3
528186160,120,2304,3
528186170,120,2304,3
528188090,160,1296,3
528188150,160,1296,3
528190010,120,3481,4
528228445,120,1849,3
528228465,20,1849,3
528228540,20,2809,3
528235020,60,6400,3
528235120,60,3844,3
528235180,80,3481,3
528240040,60,2601,3
528253020,120,3025,3
528280130,60,8649,3
528280180,60,5041,3
528290010,60,3600,3
528292060,60,1681,3
528294060,60,5929,3
528315060,75,7056,3
528315110,60,6400,3
528326030,60,7056,3
528346050,20,18496,3
528354100,60,9409,3
528363110,20,8281,3
528365060,60,9216,3
528365080,60,8281,3
528387050,60,6561,3
528390020,20,8281,3
528427010,20,8464,3
528427070,60,7396,3
528429050,20,5625,3
528429070,20,5476,3
528429080,20,5625,3
528431060,20,6084,3
528431080,20,8281,3
528431120,60,5329,3
528435020,60,6400,3
528439010,20,7569,3
528458030,20,5184,2
528458050,20,5184,2
528462040,20,9025,2
528477040,60,5625,2
528478030,60,5625,2
528478040,60,7225,2
528480060,60,7225,2
528480160,60,4225,2
528482020,20,7225,2
528488140,20,3844,2
528490080,60,4096,2
531363060,20,3969,3
531371070,60,4624,3
531373060,60,4489,3
531375050,20,3969,3
531375110,20,4356,3
531375120,20,4356,3
531376010,60,4225,3
531376070,20,6561,3
531382090,60,4225,3
531382110,60,2500,3
531382120,20,4225,3
531384030,60,1849,3
531385060,60,4225,3
531450030,60,5625,3
531450170,60,5776,3
531451020,120,2500,3
531452140,120,3025,3
532351050,20,4900,3
532354150,20,5625,3
532376170,190,4225,3
532377020,20,3600,3
532378200,20,4225,3
532477030,20,9025,3
532479020,50,4900,3
533125140,60,11025,3
533206050,120,3481,2
533208080,160,1225,2
533208140,120,1369,2
533212050,160,900,2
533212140,160,900,2
533212150,160,1156,2
533213070,160,576,2
533213120,160,576,2
533215040,120,1764,2
533215070,120,1225,2
533215080,120,2500,2
533217050,160,576,2
533217060,160,576,2
533234020,60,6241,2
533236060,160,576,2
533236070,160,576,2
533236090,160,1296,2
533250050,120,1444,3
533250110,120,484,3
533250160,120,1024,3
533350120,20,10609,3
534126090,20,6400,3
534127230,20,7225,3
534128050,20,6400,3
534175140,90,5625,3
534177180,60,8100,3
534201240,60,5329,3
534202130,20,5184,3
534204030,20,4225,3
534225110,90,5184,3
534225120,90,5476,3
534250010,90,7569,3
534250410,60,5776,3
534276190,20,5476,3
534277060,20,5929,3
534400030,20,6400,3
534400060,20,10000,3
534401130,80,6724,3
534401190,20,6400,3
534403050,20,5625,3
534403080,80,7225,3
534403100,80,6724,3
534403260,20,8100,3
534426040,20,5184,3
534427040,20,6400,3
534451170,30,3136,3
534452060,190,2500,3
534453140,70,2500,3
534455030,20,6400,3
534477080,50,6400,3
534477090,20,6400,3
534477270,80,6400,3
534479150,20,3969,3
535104020,20,6400,3
535105030,20,5625,3
535105060,20,6400,3
535105090,80,10201,3
535126140,60,8100,3
535150280,20,5041,3
535151160,20,4900,3
535152200,20,5476,3
535153140,20,6724,3
535153150,20,5776,3
535176100,20,8100,3
535178060,20,5184,3
535179060,20,6400,3
535180100,20,5625,3
535180120,20,5625,3
535301080,20,3600,3
535302130,20,10404,3
535303030,20,9025,3
535305030,20,3600,3
535305160,20,3249,3
535327230,20,5041,3
535352080,50,6400,3
535354200,90,5776,3
535375140,20,3600,3
535375160,50,2025,3
535380050,50,3600,3
535380110,30,3600,3
535380140,50,3600,3
535383100,190,3600,3
535402120,60,4900,3
535403010,20,6084,3
535425060,20,5776,3
535427070,20,97969,3
535451010,20,5476,3
535451050,20,3600,3
535451230,20,3600,3
535452120,80,4900,3
535453020,20,6400,3
535453040,20,6400,3
535453210,20,4900,3
535454150,50,3600,3
535455060,45,4096,3
535455080,45,3481,3
535455090,50,3600,3
535456050,90,12769,3
535456070,50,3600,3
535456100,20,3600,3
535475020,60,5041,3
535476370,60,6400,3
535477090,20,4761,3
902100020,20,3136,4
902100030,30,900,4
902102060,70,3600,4
902103150,50,3249,4
902105010,70,6400,4
902105020,50,3600,4
902105130,30,3600,4
902107030,75,3600,4
902109080,190,3969,4
902109110,50,3969,4
902109120,50,3969,4
902109160,50,6561,4
902128075,30,3600,4
902128150,190,3600,4
902134100,30,3600,4
902136110,50,1936,4
902201120,20,2500,4
902201140,20,10000,4
902202090,50,5625,4
902205070,20,3844,4
902205090,20,2500,4
902205140,20,2500,4
902207120,20,10609,4
902207220,75,7569,4
902300110,190,4761,4
902300215,50,10000,4
902300260,75,2809,4
902301140,70,1156,4
902301150,50,4761,4
902304060,190,3600,4
902305080,75,3600,4
902306120,70,3600,4
902306130,70,3600,4
902326060,190,3600,4
902328040,75,1225,4
902330010,70,2500,4
902401120,75,5625,4
902402260,70,3600,4
902405070,70,3600,4
902406020,20,4225,4
902406090,50,6561,4
902427045,20,4900,4
902427150,20,2704,4
903201030,30,3025,3
903204095,40,2500,4
903225050,45,2500,4
903225140,50,2500,4
903225160,70,3481,4
903226060,50,2500,4
903226150,30,2500,4
903227080,50,2500,4
903228040,50,2500,4
903228060,50,2500,4
903228090,45,2500,4
903230110,50,3600,4
903230120,20,9801,4
903231080,50,2704,4
903232090,50,2704,4
903233080,50,2704,4
903234090,70,2601,4
903234100,50,2601,4
903235010,70,3600,4
903235100,30,3600,4
903236010,50,2500,4
903400180,50,4096,3
903401020,50,3600,3
903401030,50,3600,3
903425420,30,3025,3
903426160,60,3249,4
903429010,50,3969,4
903453050,70,3600,4
903454100,50,3600,4
903455140,30,3600,4
903456130,50,3844,4
903475020,20,2401,4
903476110,50,3600,4
903481010,30,3600,4
903481100,190,3600,4
903484020,50,3600,4
904100020,20,6724,3
904100040,20,3025,3
904100160,50,13225,3
904101170,50,6400,3
904351280,190,3844,3
905102170,20,4900,3
905103030,80,6400,3
905104110,20,4624,3
905104180,20,3249,3
905200090,90,3600,3
905200100,190,3600,3
905201020,20,8836,3
905201110,20,7744,3
905225040,80,7225,3
905226030,30,3600,3
905227050,50,3969,3
905352030,60,6889,3
905352070,20,6724,3
905401045,20,5329,3
905402090,80,15376,3
905403060,50,2500,3
905403150,20,7225,3
905425125,50,5625,3
905426030,30,7225,3
905427050,50,4356,3
905427070,70,14400,3
905451330,20,4624,3
905452070,90,2500,3
905452120,60,2500,3
905476120,50,2500,3
905477050,190,4900,3
905479110,190,4624,3
905480150,50,3600,3
905480240,50,3600,3
906204150,60,7396,3
906223110,20,6400,3
906223220,80,7225,3
906378190,60,4225,3
906380030,20,4225,3
906412010,20,8281,3
906412050,20,8281,3
906420130,60,3481,3
906476030,60,6241,3
907126030,20,4225,3
907135020,20,5625,3
907135260,20,3249,3
907181120,60,4624,3
907181140,60,4624,3
907187030,60,3249,3
907187080,20,8649,3
907192130,20,7744,3
907194020,60,6400,3
907196040,60,5625,3
907196050,60,4624,3
907201060,80,4225,3
907202240,20,1600,3
907203090,20,7744,3
907227050,20,3600,3
907227300,20,3600,3
907250020,20,5625,3
907251090,60,5625,3
907254020,60,5329,3
907254090,60,5625,3
907262030,60,4225,3
907262060,60,1681,3
907262070,60,5184,3
907265100,60,9216,3
907285080,60,4900,3
907290150,120,1369,4
907295020,20,5625,3
907295100,90,6889,4
907405020,20,4900,3
907405140,60,4225,3
907412040,20,5625,3
907412070,20,4225,3
907412080,60,4096,3
907412090,20,7225,3
907418010,20,7225,3
907418040,20,5476,3
907420080,60,3969,3
908102030,30,4489,3
908102040,90,4489,3
908102140,20,5625,3
908102260,20,5625,3
908103260,85,4096,3
908103280,20,4225,3
908127120,30,3969,3
908128050,85,8100,3
908128110,60,3600,3
908152110,60,5184,3
908152270,20,3600,3
908154080,20,15129,3
908154235,60,97969,3
908186040,180,1225,4
908201100,90,4225,3
908201110,90,4225,3
908201120,90,8464,3
908204160,90,5476,3
908225170,190,3136,3
908226120,50,3600,3
908250040,50,3249,3
908250090,20,4624,3
908275130,50,4900,3
908275180,50,3600,3
908275280,50,3481,3
908276140,80,3844,3
909100150,30,4489,3
909100170,30,4489,3
909101060,30,2025,3
909101180,190,3025,3
909175050,75,3600,3
909175100,50,3600,3
909177120,30,3600,3
909250040,70,2601,3
909250230,90,4096,3
909251080,70,4356,3
909251090,70,6241,3
909252110,70,3969,3
909252220,50,3969,3
909253190,30,2704,3
909254050,70,2916,3
909256060,50,2601,3
909275050,70,3600,3
909276170,70,5476,3
909281030,20,6241,3
909281110,70,10000,3
909425085,50,4900,3
909428170,20,3136,3
909451020,160,576,4
909451150,160,576,4
910200080,30,2500,4
910201130,50,3600,4
910202050,30,1600,4
910203020,30,5041,4
910203090,50,3364,4
910205010,80,5625,4
910206110,30,3600,4
910226040,50,5625,4
911370410,120,4096,4
911370490,120,1936,4
911370520,120,1936,4
911370540,120,1936,4
914475020,80,5776,3
914476010,20,5625,3
